sample-id	is_control	sample_type
MG_A0	FALSE	plant
MG_A1	FALSE	plant
MG_A2	FALSE	plant
MG_A3	FALSE	plant
MG_B0	FALSE	plant
MG_B1	FALSE	plant
MG_B2	FALSE	plant
MG_B3	FALSE	plant
MG_C0	FALSE	plant
MG_C1	FALSE	plant
MG_C2	FALSE	plant
MG_C3	FALSE	plant
MG_Ct_0A	TRUE	control_DNA_extraction
MG_Ct_0B	TRUE	control_DNA_extraction
MG_Ct_0C	TRUE	control_DNA_extraction
MG_Ct_qPCR_neg	TRUE	control_library_prep
MG_Ct_qPCR_pos_zymo	FALSE	positive_ctrl
MG_E0	FALSE	plant
MG_E1	FALSE	plant
MG_E2	FALSE	plant
MG_E3	FALSE	plant
MG_F0	FALSE	plant
MG_F1	FALSE	plant
MG_F2	FALSE	plant
MG_F3	FALSE	plant
MG_G0	FALSE	plant
MG_G1	FALSE	plant
MG_G2	FALSE	plant
MG_G3	FALSE	plant
MG_I0	FALSE	plant
MG_I1	FALSE	plant
MG_I2	FALSE	plant
MG_I3	FALSE	plant
MG_J0	FALSE	plant
MG_J1	FALSE	plant
MG_J2	FALSE	plant
MG_J3	FALSE	plant
MG_K0	FALSE	plant
MG_K1	FALSE	plant
MG_K2	FALSE	plant
MG_K3	FALSE	plant
MG_L0	FALSE	plant
MG_L1	FALSE	plant
MG_L2	FALSE	plant
MG_L3	FALSE	plant
MG_M0	FALSE	plant
MG_M1	FALSE	plant
MG_M2	FALSE	plant
MG_M3	FALSE	plant
MG_N0	FALSE	plant
MG_N1	FALSE	plant
MG_N2	FALSE	plant
MG_N3	FALSE	plant
MG_O0	FALSE	plant
MG_O1	FALSE	plant
MG_O2	FALSE	plant
MG_O3	FALSE	plant
MG_P0	FALSE	plant
MG_P1	FALSE	plant
MG_P2	FALSE	plant
MG_P3	FALSE	plant
MG_Q0	FALSE	plant
MG_Q1	FALSE	plant
MG_Q2	FALSE	plant
MG_Q3	FALSE	plant
MG_R0	FALSE	plant
MG_R1	FALSE	plant
MG_R2	FALSE	plant
MG_R3	FALSE	plant
MG_S0	FALSE	plant
MG_S1	FALSE	plant
MG_S2	FALSE	plant
MG_S3	FALSE	plant
MG_T0	FALSE	plant
MG_T1	FALSE	plant
MG_T2	FALSE	plant
MG_T3	FALSE	plant
