item,mycol
Others,#BDBDBD
Enterobacteriaceae,#F46D43
Microbacteriaceae,#B2DF8A
Pseudomonadaceae,#FFEDA0
Microcystaceae,#FB9A99
Micrococcaceae,#FEE0D2
Sphingomonadaceae,#542788
Bacillaceae,#FBB4AE
Methylophilaceae,#CAB2D6
Ktedonobacteraceae,#E7E1EF
Comamonadaceae,#FFFF99
Beijerinckiaceae,#FEB24C
Cyanobiaceae,#7FCDBB
Yersiniaceae,#ADDD8E
Nocardioidaceae,#FC9272
Streptomycetaceae,#FA9FB5
Oxalobacteraceae,#BCBDDC
Rhizobiaceae,#80CDC1
Corynebacteriaceae,#1B9E77
Sporichthyaceae,#CE1256
Burkholderiaceae,#F768A1
Flavobacteriaceae,#E6F5C9
Erwiniaceae,#4EB3D3
Xanthomonadaceae,#8C6BB1
Microscillaceae,#66C2A4
Paenibacillaceae,#C994C7
Dermacoccaceae,#A6D854
f_unclassified_c__Verrucomicrobiae,#FDAE61
Pseudonocardiaceae,#E41A1C
Crocinitomicaceae,#969696
Moraxellaceae,#F781BF
NS11-12_marine_group,#E5C494
Brevibacteriaceae,#F2F2F2
Weeksellaceae,#41AB5D
Ilumatobacteraceae,#08306B
