"","MG_A0","MG_A1","MG_A2","MG_A3","MG_B0","MG_B1","MG_B2","MG_B3","MG_C0","MG_C1","MG_C2","MG_C3","MG_Ct_qPCR_pos_zymo","MG_E0","MG_E1","MG_E2","MG_E3","MG_F0","MG_F1","MG_F2","MG_F3","MG_G0","MG_G1","MG_G2","MG_G3","MG_I0","MG_I1","MG_I2","MG_I3","MG_J0","MG_J1","MG_J2","MG_J3","MG_K0","MG_K1","MG_K2","MG_K3","MG_L0","MG_L1","MG_L2","MG_L3","MG_M0","MG_M1","MG_M2","MG_M3","MG_N0","MG_N1","MG_N2","MG_N3","MG_O0","MG_O1","MG_O2","MG_O3","MG_P0","MG_P1","MG_P2","MG_P3","MG_Q0","MG_Q1","MG_Q2","MG_Q3","MG_R0","MG_R1","MG_R2","MG_R3","MG_S0","MG_S1","MG_S2","MG_S3","MG_T0","MG_T1","MG_T2","MG_T3"
"67-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00287648054145516,0,0.0284478834774693,0,0,0,0,0,0,0,0.0187308868501529,0.00579345088161209,0.0241157556270096,0.00208217656857301,0.0117924528301887,0.00630023897458179,0,0,0.0115397296406198,0.00593205105159087,0,0,0,0.00121988411100945,0,0,0.0153417015341702,0,0,0,0,0,0,0,0.0074313408723748,0.00853994490358127,0.0114593077642657,0.00524737631184408,0,0,0,0,0.0234113712374582,0,0.00364077669902913,0,0,0,0,0,0,0,0,0,0,0,0.00635046636237349
"Acetobacteraceae",0,0.00950871632329636,0.0290271966527197,0,0,0,0.0196956132497762,0,0,0,0,0.0066691367173027,0,0,0,0.0109044259140475,0,0,0,0.0338983050847458,0,0,0,0.00876872488125685,0,0,0.0137614678899083,0,0,0,0,0.0115142298500978,0,0,0,0.0451195398166457,0.0112676056338028,0,0.0350723366944323,0.0118938700823422,0,0,0.00836820083682008,0,0,0,0.0221729490022173,0.0220048899755501,0,0,0,0,0,0,0.0395913154533844,0,0,0,0.0294314381270903,0.0216931216931217,0,0,0,0.0183387270765912,0,0,0,0,0,0,0,0,0
"Acidobacteriaceae_Subgroup_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161516097771078,0,0,0.00423011844331641,0,0,0,0,0,0.00449826989619377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000856286570572285,0,0,0,0,0,0,0,0,0,0.0153920153920154,0.0336664913203577,0,0,0.00211640211640212,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidothermaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161516097771078,0,0,0.0109983079526227,0,0,0,0.015839808726838,0,0,0,0,0,0,0.0156171284634761,0.0279742765273312,0,0,0,0,0,0,0.00485349631493798,0,0,0,0,0,0,0.0139470013947001,0,0,0,0,0,0,0,0.0113085621970921,0.00330578512396694,0.00198783910196445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141903171953255,0,0,0
"Actinospicaceae",0,0,0,0,0,0,0,0,0.0343300110741971,0.00788686429154202,0.00404732254047323,0.0109299740644683,0,0.00656832130935717,0.00644987906476754,0,0.0184433164128596,0.00312158576556891,0,0.00192604006163328,0.0170352659892409,0.000273149412728763,0,0.000730727073438071,0,0.00420070011668611,0.00726299694189602,0.0168765743073048,0.0237942122186495,0,0,0.0121659787095373,0.0231641202562839,0,0,0.00575229192881539,0.0103286384976526,0.00978886756238004,0,0.0143336383043611,0.019471488178025,0,0.00697350069735007,0.00746596398770312,0.00464723278411491,0.00627943485086342,0,0.0244498777506112,0,0.00275137568784392,0.00258481421647819,0.00826446280991736,0.0105238540692236,0.00787106446776612,0,0,0,0.026984126984127,0,0.0428571428571429,0.00388349514563107,0,0,0,0,0,0,0,0,0.0158597662771285,0,0,0.00456439769795594
"Aeromonadaceae",0.00293398533007335,0.00277337559429477,0,0,0,0.0074147305981216,0.00940017905102954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304149467738431,0,0,0,0,0,0,0,0,0,0.00280986575085857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKYH767",0,0,0,0,0,0,0,0.000859739621714566,0,0,0.00902864259028643,0,0,0,0,0,0,0.000624317153113782,0,0.0119414483821263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892018779342723,0,0,0,0,0,0,0,0,0,0,0.00162999185004075,0.0124423963133641,0,0,0,0.000467726847521048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alcaligenaceae",0.00801955990220049,0,0,0,0.00455696202531646,0.00543746910528917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194846581079851,0.00830449826989619,0,0,0,0,0,0,0.00444197667962243,0,0.000434499239626331,0,0,0,0,0,0.00211132437619962,0,0,0,0.00468310958476428,0,0,0,0.00128442985585843,0,0,0,0.00300150075037519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alicyclobacillaceae",0,0,0.0094142259414226,0,0,0,0,0.00319331859493982,0.00166112956810631,0,0,0.006298629121897,0,0,0,0.0115458627325208,0.00219966159052453,0.00374590291868269,0,0.0285053929121726,0,0,0,0,0,0.00326721120186698,0,0.00654911838790932,0.00482315112540193,0,0,0.00521399087551597,0,0,0,0.0159985619270178,0.0154929577464789,0.00134357005758157,0,0.00579444952729491,0,0,0,0,0.0185889311364597,0.00371057513914657,0.00480413895048041,0,0.0202764976958525,0,0,0.00550964187327824,0.00187090739008419,0,0,0.0548340548340548,0.0278800631246712,0.030952380952381,0,0.0333333333333333,0,0,0,0.0226537216828479,0,0,0,0,0.00620539869686627,0,0.00628930817610063,0.0710382513661202,0.00615201428854932
"Azospirillaceae",0.000684596577017115,0,0.00915271966527197,0,0,0,0,0,0,0,0,0,0,0.00441477333907613,0.00859983875302338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142714428428714,0,0.0146699266503667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010016694490818,0,0,0
"Babeliaceae",0,0,0,0,0,0,0,0,0,0,0,0.00759540570581697,0,0.000430709594056208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694058856191005,0,0,0,0,0,0,0,0.00115163147792706,0,0,0,0,0,0,0,0.00114171542742971,0,0,0,0,0,0,0.000701590271281572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0.0692991631799163,0.0643588493417845,0,0,0.0579677708146822,0.0152296732989437,0.017718715393134,0,0.0927770859277709,0.0735457576880326,0.190739602540463,0.00990632066329277,0.0166621875839828,0.0218088518280949,0.0345177664974619,0,0,0,0,0,0,0.107051516258677,0,0.0436406067677946,0,0.0355163727959698,0.0257234726688103,0.0159633536923931,0,0.00760373669346079,0.0561853129620503,0,0,0.0846665468272515,0.0948356807511737,0.0151631477927063,0,0.0448307410795974,0.0257301808066759,0.01966906025601,0.0655509065550907,0.0667545015371102,0.0591465990705534,0,0.00923872875092387,0,0.17741935483871,0,0.0355411954765751,0.0443526170798898,0,0,0,0.102934102934103,0.067859021567596,0,0,0.113756613756614,0,0,0.0625,0.112189859762675,0.0720576461168935,0,0.032017075773746,0.0240506329113924,0.0155134967421657,0,0.0220125786163522,0.146448087431694,0
"Bacteriovoracaceae",0,0,0,0.00438810336421258,0,0,0.00671441360787824,0,0,0,0.0108966376089664,0,0,0,0.0112872883633432,0,0.00575296108291032,0,0,0,0,0,0,0,0,0,0,0.0105793450881612,0,0,0.0141509433962264,0,0,0,0.0161556214968678,0,0.00610328638497653,0,0,0,0,0,0,0,0,0,0.0177383592017738,0,0,0,0.0113085621970921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bdellovibrionaceae",0,0,0.0117677824267782,0,0,0,0,0.00307049864898059,0,0,0,0.00259355316783994,0,0,0,0,0,0,0.00751024123805189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00647132841991731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159642401021711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00327868852459016,0
