item	50w_0	50w_1	50w_2	50w_3	90w_0	90w_1	90w_2	90w_3	120w_0	120w_1	120w_2	120w_3
Others	0.136213393	0.299894607	0.362557069	0.339261581	0.109373275	0.361436093	0.362229891	0.261522876	0.144813731	0.293043457	0.397769689	0.33739192
Enterobacteriaceae	0.099238841	0.053414306	0.040434925	0.022400639	0.177928788	0.086972403	0.033525503	0.087048625	0.234079926	0.080085844	0.034269726	0.046781538
Microbacteriaceae	0.129017555	0.038021022	0.049824577	0.055379664	0.162825294	0.026029263	0.031298852	0.116341019	0.086570015	0.022921437	0.044449507	0.042894079
Pseudomonadaceae	0.133571971	0.049686878	0.011664202	0.101722109	0.073492826	0.041727797	0.036083927	0.089329488	0.119396682	0.020753575	0.004868621	0.010186307
Microcystaceae	0	0.044879254	0.04323528	0.041718304	0.003304194	0.054893026	0.028360552	0.035293349	0.021010213	0.08893481	0.031351806	0.047966583
Micrococcaceae	0.05075838	0.029373718	0.02755551	0.035189281	0.04324993	0.030271995	0.032679283	0.016651205	0.02410984	0.010451106	0.071913881	0.046916498
Sphingomonadaceae	0.054491665	0.022297295	0.031640075	0.048272916	0.040574451	0.035719935	0.033168904	0.041620401	0.034620343	0.026624855	0.024476541	0.022746345
Bacillaceae	0.007273434	0.011132084	0.067111293	0.044583613	0.005938736	0.01626133	0.043218457	0.035655684	0.007131364	0.013193698	0.078338283	0.050114505
Methylophilaceae	0.051960266	0.027290797	0.019424353	0.011144202	0.019026587	0.019563997	0.023560541	0.019509418	0.063419558	0.029083849	0.003452549	0.009506194
Ktedonobacteraceae	0.018331137	0.018972144	0.080825823	0.033696447	0.006773524	0.012795261	0.017590443	0.023649833	0.011425167	0.022905944	0.014660807	0.025719938
Comamonadaceae	0.010650795	0.044545909	0.009500656	0.012034622	0.008297186	0.049971987	0.03093662	0.021970918	0	0.027738963	0.015060657	0.025600233
Beijerinckiaceae	0.014757655	0.008957688	0.016284965	0.018683394	0.017195036	0.008266946	0.018211897	0.039984782	0.016368333	0.018691742	0.023376508	0.02581812
Cyanobiaceae	0	0.025991334	0.025144348	0.014343821	0	0.019571247	0.019064476	0.011410902	0.007936508	0.048316414	0.024465986	0.028004746
Yersiniaceae	0.024824965	0.02022656	0.003720557	0	0.018324263	0.006284333	0.008860759	0.037745707	0.0073531	0.002338156	0.001728169	0.090838383
Nocardioidaceae	0.01112332	0.026461418	0.01519273	0.028046543	0.007712316	0.002428558	0.027427161	0.015130917	0.013350818	0.03193958	0.028707145	0.014606934
Streptomycetaceae	0.022534308	0.01840683	0.0353621	0.015876426	0.014576503	0.011174655	0.01764895	0.007693997	0.03998203	0.003434166	0.013124464	0.015082606
Oxalobacteraceae	0.027252058	0.009719839	0.020666004	0.025152917	0.058722951	0.003365246	0.010625211	0.013652228	0.00747204	0.004968581	0.012871793	0.006785994
Rhizobiaceae	0.04274758	0.010966582	0.010615058	0.006726438	0.021863468	0.028956386	0.01041945	0.009876048	0.022638264	0.00869137	0.008710918	0.006258738
Corynebacteriaceae	0.00159471	0.027409664	0.013667057	0.012596006	0	0.031247718	0.021432259	0.012929675	0.008994709	0.018462536	0.027224759	0.006617501
Sporichthyaceae	0	0.013562284	0.022265574	0.015457845	0	0.014710752	0.025316106	0.011875441	0	0.025699111	0.030912758	0.017159558
Burkholderiaceae	0.007102867	0.017887852	0.00209205	0.003780828	0.066668837	0.020200421	0.008069352	0.012392459	0.007210594	0.014081422	0.001139224	0.011852575
Flavobacteriaceae	0.02492561	0.02557377	0.006362775	0.015440698	0.024067637	0.011037673	0.016696583	0.005870522	0.002489349	0.016310955	0.002491634	0.014559999
Erwiniaceae	0.041317092	0.005715097	0	0.015392701	0.036221365	0	0.005587396	0.008214824	0.027123456	0.000761444	0.005312349	0.010808647
Xanthomonadaceae	0.025150486	0.007031005	0.002440725	0.002649524	0.010389738	0.037528114	0.019558954	0.009153001	0.010761388	0.008364425	0.003889268	0.000768608
Microscillaceae	0	0.025151468	0.017813812	0.012329083	0	0.020786364	0.001244327	0.002600322	0	0.030803012	0.007101896	0.011491066
Paenibacillaceae	0.005089406	0.007091308	0.008954326	0.018852246	0.002696506	0.003117221	0.022624736	0.005614606	0.008711567	0.00868461	0.028018803	0.009855844
Dermacoccaceae	0.015293073	0.003639611	0.003351699	0.006226545	0.042971725	0	0.003210067	0.007371986	0.042270043	0	0	0.003141744
f_unclassified_c__Verrucomicrobiae	0.002994944	0.024242896	0.013945779	0.018162562	0	0.006121138	0.008795583	0.008965445	0.003703704	0.023646093	0.00763219	0.00769065
Pseudonocardiaceae	0.007450668	0.035104867	0.007598676	0.003872719	0.004479234	0.005336179	0.012067856	0.004484257	0.005175633	0.00794805	0.015687258	0.008441878
Crocinitomicaceae	0	0.020289625	0.007171356	0.001286174	0.001124438	0.006387668	0.021390097	0.008900662	0.001587302	0.019949904	0.007999286	0.00626415
Moraxellaceae	0.00207009	0.005348653	0.003443166	0.008856689	0.00359781	0.015388885	0.020170806	0.001743375	0.002774702	0.019332053	0.010935856	0.004963749
NS11-12_marine_group	0	0.010625523	0.017682764	0.005489336	0	0.00070028	0	0.000985707	0.00092285	0.023755857	0.010508211	0.009981182
Brevibacteriaceae	0.020221802	0.004111602	0.000688705	0.002947481	0.014417217	0	0.002281121	0.008667065	0.010918446	0.003799503	0	0.001430861
Weeksellaceae	0.012041926	0.001786154	0.00176201	0.00092611	0.004186166	0.008493277	0.020249885	0.002763449	0.005678323	0.001842856	0.000988675	0.005933851
Ilumatobacteraceae	0	0.005190357	0	0.001500536	0	0.003253849	0.006393993	0.003379806	0	0.022440622	0.00656078	0.015818473
