tax	50w0	50w1	50w2	50w3	90w0	90w1	90w2	90w3	120w0	120w1	120w2	120w3
67-14	0	0.00436037128708795	0.00238889929753223	0.0069875882922748	0.00122159214673618	0.00926367297363803	0.00105003982909696	0	0	0.00582518347967967	0.00119198919376672	0.00108620954008072
Acetobacteraceae	0	0.00757385553590366	0.00996680191825444	0	0	0.00799325271503408	0.01085135803077	0	0	0.0107506291369204	0.0179916140971247	0.00298945705851758
Acidobacteriaceae_Subgroup_1	0.000142714428428714	0.000749711649365628	0	0	0	0	0.00256533589866923	0.00561108188672628	0.00026919349628513	0	0.00035273368606702	0.000705019740552735
Acidothermaceae	0.00236505286588758	0.00188476036618202	0.00315381893124051	0.00499368593821594	0	0.00232450023245002	0	0.00263996812113967	0.00026919349628513	0	0.000808916052489663	0.00183305132543712
Actinospicaceae	0.00489407105754179	0.00164130185972904	0.00838694032354524	0.00648041066430484	0.0018321083722225	0.00116225011622501	0.00359299712647895	0.00747443650493995	0.0129452211550102	0.00238945722605159	0.0111650659384654	0.0105094853831061
Aeromonadaceae	0.000488997555012225	0.000462229265715795	0	0	0.000468310958476428	0.00123578843302027	0.00207361228806897	0	0	0	0	0
AKYH767	0	0	0.000271665308340125	0.00215168719348086	0.000104052858852297	0	0.00199024139702105	0.000143289936952428	0	0	0.00150477376504774	0.0014866979655712
Alcaligenaceae	0.00529835810273654	0.0013840830449827	0	0	0.00228034138161719	0.000906244850881528	7.24165399377218e-05	0	0.00035188739603327	0	0	0
Alicyclobacillaceae	0.00116296439016893	0.00184890785443017	0.0154185395947884	0.00552042841664799	0.000624317153113782	0	0.0147589064369572	0.00931128525882283	0.00565951342967815	0	0.0148876548671691	0.00399854140981674
Azospirillaceae	0.00202140589202038	0	0.00397044105260645	0	0	0	0	0	0.000735795556512688	0.00143330645883723	0	0
Babeliaceae	0.000190285904571618	0	0	0.000116931711880262	0.000115676476031834	0	0	0	0.000263723511997211	0	0	0.00126590095096949
Bacillaceae	0.0072734344612991	0.0111320838073085	0.0671112927910245	0.0445836128082175	0.00593873565806718	0.0162613303881394	0.0432184574817914	0.0356556839402182	0.00713136397485551	0.0131936979306638	0.0783382831970006	0.0501145053100396
Bacteriovoracaceae	0	0.00484115356647765	0.0017632241813602	0.000731350560702097	0	0.00235849056603773	0.00111906893464637	0	0	0.00457381831003517	0.00181610626816107	0.00197604124464781
Bdellovibrionaceae	0	0	0.00250774515856139	0	0	0.00391241355670383	0	0.000511749774830098	0	0	0.00107855473665288	0.000432258861306657
Beijerinckiaceae	0.0147576549479455	0.00895768752528026	0.0162849653214769	0.0186833941708796	0.0171950364183272	0.00826694587383447	0.0182118968087129	0.0399847819436323	0.016368333456262	0.0186917423507212	0.0233765084986743	0.0258181196684124
Beutenbergiaceae	0	0	0	0.00297705264549466	0	0	0.00328853506819609	0	0	0	0.00413487299693202	0.0013894034827714
Blastocatellaceae	0.000834724540901502	0	0	0.000695135319005057	0	0.0029585798816568	0	0	0	0.00122382376937721	0.00228934764469591	0.000988020254415215
Brevibacteriaceae	0.0202218021330723	0.00411160185692949	0.00068870523415978	0.00294748124330118	0.0144172174631533	0	0.00228112100803823	0.0086670651524208	0.0109184462965207	0.00379950314189683	0	0.00143086076468451
Bryobacteraceae	0	0	0.000780532598714417	0.000802599251872192	0.000208138203767302	0.000568957669549385	0.00204948031034988	0	0	0	0.00871885641494367	0.000761421319796955
Burkholderiaceae	0.00710286698264111	0.0178878516658272	0.00209205020920502	0.00378082804916287	0.0666688374536576	0.0202004210914206	0.00806935232917155	0.0123924594420782	0.00721059411866131	0.0140814218261511	0.00113922361040444	0.0118525750995138
Caulobacteraceae	0.00594928005523333	0.00436802298606413	0.0138121521612458	0.0104766252209953	0.00535955874700802	0.00989628074047177	0.00941212486144614	0	0.00310469832382183	0.00989502971586257	0.00640042099230148	0.00631647073523687
Cellulomonadaceae	0.000546227552863948	0.0125225641345565	0.00138539042821159	0.00253129996893939	0	0.00125170687300865	0.00210631314164926	0.00126742712294043	0.00100028720862086	0.0108332399909718	0	0.00375047515039202
Chitinophagaceae	0.00679760026850962	0.0155831150483557	0.0101843948993021	0.0109732551285151	0.00416093799623624	0.0196726391470706	0.0145263729171725	0.0143981386067159	0.00709080700218436	0.0183829049915877	0.00977597718483168	0.00612638487917658
Chthoniobacteraceae	0.000622325943212758	0.0045974556945947	0	0	0	0.0123634377639386	0	0.0017931858936043	0	0.00653847541062855	0.00410449997004015	0.00104977152031617
Clade_III	0	0.00674679549073416	0.00140730404204798	0	0	0	0.00275182851763343	0	0.00698289651778024	0.000179163307354653	0	0.00195618153364632
Clostridiaceae	0.00259341702915632	0.00575651919339422	0.00209205020920502	0.00163744231223679	0.000309404778476406	0	0.0167171370637538	0.0010859447719516	0.000991682661548305	0.0116763377065244	0.00107855473665288	0.0103450160015209
Comamonadaceae	0.0106507950255104	0.0445459089964543	0.0095006558972243	0.0120346215292524	0.00829718578705882	0.0499719871510578	0.0309366195017219	0.0219709184387317	0	0.0277389627148443	0.0150606572779429	0.0256002333980849
Corynebacteriaceae	0.00159471022948269	0.0274096644280962	0.0136670573993897	0.0125960061443932	0	0.0312477176850787	0.0214322591875669	0.0129296745310158	0.008994708994709	0.0184625355012104	0.027224759249001	0.00661750057322853
Crocinitomicaceae	0	0.0202896246970108	0.00717135611226202	0.00128617363344051	0.00112443778110944	0.00638766807510528	0.0213900970659177	0.00890066160608058	0.00158730158730159	0.0199499043205212	0.00799928624879433	0.00626415004408855
Cyanobiaceae	0	0.0259913343157213	0.0251443481846233	0.0143438209554976	0	0.0195712472555732	0.0190644756439971	0.0114109017571572	0.00793650793650793	0.0483164143357694	0.0244659862563664	0.0280047464842519
Cyclobacteriaceae	0.00153261751861519	0.00387015259928139	0.00565960375803972	0.00128617363344051	0.000572380060360078	0.00943501116618203	0.00935556306296708	0.00204196592029292	0.00110741971207088	0.00253830115130088	0.00913003822538959	0.0033131389168755
Deinococcaceae	0.00236402371962806	0.00662699232608105	0.00262505984969919	0.00999945959561714	0.000104069101883651	0	0.00525266467295452	0.00769177757821216	0.000376870894799182	0.00122382376937721	0.00751475369625733	0.000817822899041173
Dermabacteraceae	0.00975270215143528	0.00335465113406747	0.00353812917357685	0.00821812596006145	0.0124572930466778	0	0	0.00841801155608687	0.0189968961204779	0	0.00233728874505573	0.0059766623026178
Dermacoccaceae	0.0152930732978805	0.00363961137041243	0.00335169880624427	0.00622654472681844	0.0429717252184351	0	0.0032100667693888	0.00737198645148437	0.042270042842831	0	0	0.00314174373595797
Desulfitobacteriaceae	0.000261643118785977	0	0.00507457956928469	0.000844854070660522	0	0	0	0	0	0	0.00137236962488563	0.00192934568525829
Devosiaceae	0.00160954211923431	0.00230267654086777	0.00371566708804667	0.00334717394609501	0.00148018217466748	0.00406032279726541	0.00826996101257703	0.000413693246457752	0.011112888320182	0	0.00104859488285697	0.00949913151599205
Enterobacteriaceae	0.0992388411645678	0.053414305670181	0.0404349247437938	0.0224006390501335	0.177928788174954	0.0869724030781197	0.0335255034135671	0.0870486250980398	0.234079926482509	0.0800858438738321	0.0342697257016654	0.0467815378713166
Enterococcaceae	0.00108907040062233	0	0.00222280334728033	0.00113765642775882	0	0	0.00238734706057893	0.0011970145049993	0	0	0	0
Erwiniaceae	0.04131709176894	0.00571509678607324	0	0.0153927011738308	0.0362213652353588	0	0.00558739561658264	0.00821482418291437	0.0271234563742191	0.000761444056257278	0.00531234907448274	0.010808646917534
f_unclassified_c__KD4-96	0.000523286237571952	0	0	0.000545681322107888	5.20345509418253e-05	0.00753071419185158	0.00265177474747792	0	0	0.00247279920870425	0.00447387690259643	0
f_unclassified_c__Limnochordia	0.000214071642643072	0.00220786214324178	0	0	0	0.000303444090426338	0.00188283003838077	0	8.97311654283765e-05	0	0.00347654628476547	0.000606796116504855
f_unclassified_c__Verrucomicrobiae	0.0029949436017114	0.0242428961759692	0.0139457791290913	0.0181625622107945	0	0.00612113825951948	0.00879558294812532	0.00896544534610075	0.0037037037037037	0.0236460925755578	0.00763218977115298	0.00769065015965053
f_unclassified_o__0319-6G20	0.00017559025390404	0.000524109014675052	0.00223906786334129	0.000696677384780278	0	0.00235169170080413	0.00117113160591422	0.000697350069735007	8.298755186722e-05	0	0.00333422381437967	0.00195618153364632
f_unclassified_o__11-24	8.33750208437552e-05	0.000492732200049273	0	0	0	0.00166894249734487	0	0	0	0	0.000269638684163222	0.00118999388320901
f_unclassified_o__Bradymonadales	0.000447857854059622	0	0	0.00183559231800773	0.000253164556962025	0.000411929477673422	0.000522232169501642	0	0	0.00147809728567589	0	0.00151037713203243
f_unclassified_o__C0119	0.00097384529771842	0.00190933727519093	0	0	0.000278396436525612	0	0.0018516037307489	0	0	0.00148367952522255	0	0
f_unclassified_o__Candidatus_Nomurabacteria	0.00019559902200489	0	0.00159529806884971	0.000233863423760523	0.000598340485221255	0	0.00187564865370322	0.000552689756816507	0	0	0	0.0017766497461929
f_unclassified_o__Chitinophagales	0.000190285904571618	0.00158478605388273	0	0	0	0.00272758213138402	0.00149209191286183	0.00229806919594851	0.0002386091222593	0	0.000748996344897837	0
f_unclassified_o__Clostridia_vadinBB60_group	7.1357214214357e-05	0	0	0	0	0	0.00426954387897645	0.0098635076773459	0	0	0.00223121627231217	0.0014866979655712
f_unclassified_o__Frankiales	0	0	0.00100755667506297	0.00746587226867503	0	0	0.00263225475089882	0	0.000394817127884857	0	0	0.00200225606316977
f_unclassified_o__Gaiellales	0	0.00114678899082569	0.00225307514310072	0.000725929112060935	0	0.00257927476862388	0.000543124049532913	0.00694973961439232	0	0.00104251654428429	0.00116843429804063	0.00176492611509084
f_unclassified_o__Gammaproteobacteria_Incertae_Sedis	0	0.00121909247474552	0.000910746812386157	0.000116931711880262	0	0.00212410863298437	0.00206387138822507	0	0	0.000582280748902625	0.00150477376504774	0.00045121263395375
f_unclassified_o__IMCC26256	0	0.00183091007000538	0	0.00200723999049507	0.00162418790604698	0.00462752237900167	0.0043549196275679	0	0.000275138837569613	0	0.00152485513876182	0
f_unclassified_o__Kapabacteriales	0.000855698171917542	0.0125339234718241	0.0110904307315981	0.0052379482642295	0	0.00511951988105576	0.0125305994177203	0.00459291990479241	0	0.0185437901692729	0.00718603216367222	0.00706028016838193
f_unclassified_o__Oligoflexales	0	0.00147819660014782	0.00333815050655586	0.00268817204301075	0	0.00142290545518984	0	0	0	0.00432560900591782	0	0.000902425267907502
f_unclassified_o__Peptostreptococcales-Tissierellales	0	0	0	0.00115207373271889	0.00087456271864068	0	0.00121982537236775	0	0	0	0.00508610683326081	0.00211267605633803
f_unclassified_o__Rhodospirillales	0	0.00280393290699607	0.0076066286335235	0	0	0	0.00197628458498023	0	0.000287907869481767	0	0	0
f_unclassified_o__Saccharimonadales	0.000733496332518337	0.00184774575018477	0.00054575986565911	0.00346162064510173	0.00165356376473995	0.00421028675466545	0.00181041349844305	0.00339620240934647	0.00248870646416294	0.00428618529508737	0.00555127950675373	0.00125794687299788
f_unclassified_o__Vicinamibacterales	0	0.000369549150036955	0	7.79544745868413e-05	0	0.0025034137460173	0	0	0	0.00200866635088385	0.000457456541628545	0
Flavobacteriaceae	0.0249256104849396	0.025573769932964	0.00636277507675881	0.015440697863602	0.0240676366581431	0.0110376727627703	0.0166965830161397	0.00587052222620964	0.00248934921871085	0.0163109545401429	0.00249163369010539	0.0145599993876679
Frankiaceae	0.000750375187593797	0	0.00557476883763158	0	0.000323894132889135	0	0	0	0.000415866922584773	0.00131521262604121	0	0.00287997141589868
Gaiellaceae	0	0.00275157232704403	0	0.00213818937639005	0	0.0041277775051062	0	0.00188930692259797	0	0	0.00137815327461202	0
Gemmataceae	0.00175184977018281	0.00235849056603773	0	0.00212425943249143	0	0.0173342436656047	0	0	0.000125623631599727	0	0.000406628037003152	0
Gemmatimonadaceae	0.00153032832498609	0.00374652598778724	0.00545864890703202	0.00205737157991886	0	0.00968499135411035	0.00424380131454561	0.00375013171515423	0.000127959053103007	0.0059368376973644	0.00369300839248723	0.00247639895082111
Geodermatophilaceae	0.00128354725787631	0.000915455035002692	0.00553735001368203	0.0153269024651661	0.00120303535073107	0.00736466364920222	0.0085603696811888	0.00422842819860803	0.000215354797028103	0.00181338608638312	0.0136065768466127	0.00339720216391411
Hungateiclostridiaceae	0.000261643118785977	0	0.0103842748963091	0.0040339824031245	0.000338192095059157	0.00204824761037778	0.00234226321182843	0.000450339801850487	0.000161516097771078	0.00225299483459722	0.00142319812951103	0.000586637026059035
Hymenobacteraceae	0.000570857713714857	0.00178094279835496	0.00225307514310072	0.000896476457748675	0.00119679467166198	0.00139470013947001	0.00419032977300432	0.0136518771331058	0	0.000730673681134005	0.000864084578631697	0
