item,MG_A0,MG_A1,MG_A2,MG_A3,MG_B0,MG_B1,MG_B2,MG_B3,MG_C0,MG_C1,MG_C2,MG_C3,MG_Ct_qPCR_pos_zymo,MG_E0,MG_E1,MG_E2,MG_E3,MG_F0,MG_F1,MG_F2,MG_F3,MG_G0,MG_G1,MG_G2,MG_G3,MG_I0,MG_I1,MG_I2,MG_I3,MG_J0,MG_J1,MG_J2,MG_J3,MG_K0,MG_K1,MG_K2,MG_K3,MG_L0,MG_L1,MG_L2,MG_L3,MG_M0,MG_M1,MG_M2,MG_M3,MG_N0,MG_N1,MG_N2,MG_N3,MG_O0,MG_O1,MG_O2,MG_O3,MG_P0,MG_P1,MG_P2,MG_P3,MG_Q0,MG_Q1,MG_Q2,MG_Q3,MG_R0,MG_R1,MG_R2,MG_R3,MG_S0,MG_S1,MG_S2,MG_S3,MG_T0,MG_T1,MG_T2,MG_T3
Enterobacteriaceae,0.0792176039119804,0.0942947702060222,0.0520397489539749,0.0570453437347635,0.260379746835443,0.12259021255561,0.0635631154879141,0.315647261115205,0.151162790697674,0.0391623606200707,0.0345579078455791,0.0114857354575769,0.123028068018849,0.031118768170561,0.0507927976350443,0.0946119307248236,0.0458544839255499,0.518963633525831,0.10150204824761,0.0227272727272727,0.0107591153616258,0.0967859419102249,0.145674740484429,0.081841432225064,0.0773584905660377,0.0534422403733956,0.0214067278287462,0.016624685138539,0,0.144503053858967,0.0813679245283019,0.0371496849880513,0.0290783637259734,0.0112863070539419,0.0458292120013188,0.00898795613877404,0.084037558685446,0.206909788867562,0.0210434020166594,0.0219579139981702,0,0.03278176709335,0,0.0223978919631094,0.0405576679340938,0.320964749536178,0.0358462675535846,0.0570497147514262,0,0.0450225112556278,0.0232633279483037,0.00991735537190083,0,0.110944527736132,0.098978288633461,0.0553150553150553,0.126249342451341,0.0698412698412698,0.0561872909698997,0.0455026455026455,0,0.934160634264047,0.2675,0,0.139311449159327,0,0.117395944503735,0,0,0,0,0.0251366120218579,0
Microbacteriaceae,0.0146699266503667,0.0412044374009509,0.0345188284518828,0.0336421257922964,0.0282278481012658,0.0215027187345526,0.0282005371530886,0.236551215917465,0.0830564784053156,0,0.0099626400996264,0.0372360133382734,0,0.177452352751158,0.041655468959957,0.0660679923027582,0.0504230118443316,0.0674262525362884,0.014792899408284,0.0365947611710324,0.147340107591154,0.122917235727943,0.026643598615917,0.0405553525758129,0.0528301886792453,0.0931155192532089,0.0282874617737003,0.0282115869017632,0.0218649517684887,0.111049416990561,0.0294811320754717,0.0371496849880513,0.0340068999507146,0.0987551867219917,0.0544015825914936,0.0221103721013841,0.0450704225352113,0.0619961612284069,0,0.0701433363830436,0.0403337969401947,0.135497970652513,0,0.0632411067193676,0.0519645120405577,0.214357071499929,0,0.0374898125509372,0.0345622119815668,0.288144072036018,0.0203554119547658,0.096969696969697,0.137979420018709,0.327586206896552,0.037037037037037,0.0226070226070226,0.0994213571804314,0.0873015873015873,0.0414715719063545,0.0984126984126984,0.0378640776699029,0.0108583247156153,0,0,0.0464371497197758,0.307164068299926,0.0533617929562433,0,0.128762022959975,0.0409015025041736,0.111635220125786,0.0612021857923497,0.0513990871204604
Pseudomonadaceae,0.146308068459658,0.119651347068146,0.00836820083682008,0.0999512432959532,0.252025316455696,0.120365793376174,0.0575201432408236,0.286661753868828,0.0315614617940199,0.00462333423986946,0.00684931506849315,0,0.0332923581233354,0.121029395929794,0.0295619457135179,0.00833867864015394,0.0155668358714044,0.0519744029967223,0,0.0104006163328197,0.00986252241482367,0.355822634981335,0.055363321799308,0.0230179028132992,0.0745283018867925,0.017269544924154,0.0133792048929664,0,0.00964630225080386,0.0179067184897279,0.0424528301886792,0.0803823593308712,0.0290783637259734,0.444979253112033,0.00890207715133531,0,0.00938967136150235,0.118809980806142,0.0359491451117931,0,0.0361613351877608,0.0758663752731814,0.0613668061366806,0.0390865173473869,0.184621884241656,0.0127015841301556,0.0277161862527716,0,0,0.173336668334167,0.0387722132471729,0.00909090909090909,0.00806828811973807,0.0322338830584708,0.0261813537675607,0,0,0,0.0454849498327759,0,0,0,0,0.0140237324703344,0,0.0109502598366741,0,0.0291139240506329,0.025752404591995,0.0959933222036728,0.0432389937106918,0.0295081967213115,0.418138519547529
Microcystaceae,0,0.027337559429477,0.0543933054393305,0.0385177961969771,0,0.0289174493326742,0.0221575649059982,0,0.0387596899224806,0.0649986401958118,0.0339352428393524,0.0246387550944794,0,0,0.027949475947326,0.0532392559332906,0.0341793570219966,0,0,0.0389060092449923,0.0361625821876868,0,0.055363321799308,0.0843989769820972,0.125471698113208,0,0.0558103975535168,0,0.054983922829582,0,0.0347877358490566,0.0319356941125353,0.0620995564317398,0,0.0636333663039895,0.0217508538558332,0.0948356807511737,0,0.0591845681718544,0.0405611466910644,0.102920723226704,0.0198251639088355,0.174337517433752,0.0202020202020202,0.075623151668779,0,0.0668883961566888,0.120619396903015,0.0313364055299539,0,0.0426494345718901,0,0,0,0.0913154533844189,0,0.0378748027354024,0.0873015873015873,0.0528428093645485,0.0386243386243386,0,0,0.265,0,0.0312249799839872,0,0,0.0569620253164557,0,0,0.0212264150943396,0,0
Micrococcaceae,0.0102689486552567,0,0.0185669456066946,0.0190151145782545,0.0156962025316456,0.0294117647058824,0.0290957923008057,0,0.0210409745293466,0,0.0370485678704857,0.148944053353094,0,0.0121675460320879,0,0.0567671584348942,0.0301184433164129,0.0216950210707039,0,0.00693374422187982,0.0367603108188882,0.011563325138851,0.0743944636678201,0.0149799050054805,0.0405660377358491,0.0294049008168028,0.0263761467889908,0.0178841309823678,0.012540192926045,0.0723209328151027,0.0200471698113208,0.0160764718661742,0,0.0300414937759336,0.0105506099571381,0.00826891964767212,0,0.0216890595009597,0.0140289346777729,0.0347666971637694,0.0319888734353268,0.0480799250702466,0.0334728033472803,0.0162494510320597,0.0295732995352767,0.0202654488368774,0,0.0497147514262429,0.0391705069124424,0.0777888944472236,0,0.0641873278236915,0.0833723105706268,0,0.045338441890166,0.0505050505050505,0.0220936349289847,0.0492063492063492,0.0381270903010033,0.0486772486772487,0.037621359223301,0.0105136159944847,0,0.245954692556634,0.032826261008807,0.101707498144024,0.0533617929562433,0.0772151898734177,0.0114799875892026,0.155258764607679,0.0754716981132075,0,0.0164715221274062
Sphingomonadaceae,0.054278728606357,0.0479397781299525,0.0536087866108787,0.076060458313018,0.0174683544303797,0.0467128027681661,0.0320053715308863,0.0072463768115942,0.0299003322259136,0.0252923579004623,0.0087173100871731,0.0335309373842164,0,0.0591148917842145,0.0389680193496372,0.0198845413726748,0.022165820642978,0.0204463867644764,0.0311788802913063,0.0242681047765794,0.0086670651524208,0.0104707274879359,0.0141868512110727,0.0142491779320424,0.010377358490566,0.0284714119019837,0.0355504587155963,0.0251889168765743,0.019935691318328,0.051082731815658,0.0212264150943396,0.052574407994786,0.0783637259733859,0.0479668049792531,0.0346191889218595,0.0683084666546827,0.0225352112676056,0.0262955854126679,0,0.03354681305276,0.0159944367176634,0.0675928816734312,0.0139470013947001,0.028546332894159,0,0.0421007563864707,0.0147819660014782,0,0.00829493087557604,0.092296148074037,0.0213247172859451,0.0421487603305785,0.0166043030869972,0.0573463268365817,0.0478927203065134,0.0413660413660414,0,0.0444444444444444,0.0608695652173913,0.0164021164021164,0.0286407766990291,0,0,0,0.0136108887109688,0.0295100222717149,0.0533617929562433,0.020253164556962,0.1554452373565,0.0993322203672788,0,0.0546448087431694,0.158364754911689
Bacillaceae,0,0,0.0692991631799163,0.0643588493417845,0,0,0.0579677708146822,0.0152296732989437,0.017718715393134,0,0.0927770859277709,0.0735457576880326,0.190739602540463,0.00990632066329277,0.0166621875839828,0.0218088518280949,0.0345177664974619,0,0,0,0,0,0,0.107051516258677,0,0.0436406067677946,0,0.0355163727959698,0.0257234726688103,0.0159633536923931,0,0.00760373669346079,0.0561853129620503,0,0,0.0846665468272515,0.0948356807511737,0.0151631477927063,0,0.0448307410795974,0.0257301808066759,0.01966906025601,0.0655509065550907,0.0667545015371102,0.0591465990705534,0,0.00923872875092387,0,0.17741935483871,0,0.0355411954765751,0.0443526170798898,0,0,0,0.102934102934103,0.067859021567596,0,0,0.113756613756614,0,0,0.0625,0.112189859762675,0.0720576461168935,0,0.032017075773746,0.0240506329113924,0.0155134967421657,0,0.0220125786163522,0.146448087431694,0
Methylophilaceae,0.252713936430318,0.072107765451664,0.0517782426778243,0,0.0316455696202532,0.0205140879881364,0.00828111011638317,0,0.0996677740863787,0.0212129453358716,0.00435865504358655,0.012597258243794,0.000921942224953903,0.175083449983848,0.0803547433485622,0.0163566388710712,0.00981387478849408,0.0034337443421258,0.0029585798816568,0.011171032357473,0.0418410041841004,0.00946917964126377,0,0.0142491779320424,0,0,0.0665137614678899,0.0400503778337531,0.0379421221864952,0.00791227096057746,0,0.00695198783402129,0.0340068999507146,0.0821576763485477,0.0425321463897132,0,0,0.0236084452975048,0.00832967996492766,0,0.0326842837273992,0.0348111145800812,0.0111576011157601,0.0707070707070707,0.0185889311364597,0.00713572142143571,0.0173688100517369,0,0,0.0382691345672836,0.00775444264943457,0.0104683195592286,0.0114593077642657,0.0363568215892054,0.0229885057471264,0.0442520442520443,0.0226196738558653,0,0.0220735785953177,0,0.00194174757281553,0,0,0,0,0,0.0597652081109925,0,0,0.00417362270450751,0,0,0.0174637824965271
Ktedonobacteraceae,0.00635696821515892,0,0,0.022915650901999,0,0.0200197726149283,0.00738585496866607,0,0.0105204872646733,0.0146858852325265,0,0.036494998147462,0,0.0151825131904813,0.0112872883633432,0.017639512508018,0.0666666666666667,0.0134228187919463,0,0,0.041243275552899,0,0.01280276816609,0.0175374497625137,0,0.00980163360560093,0.0152905198776758,0.0360201511335013,0.015112540192926,0.00305385896724042,0.00235849056603774,0.0154247230067347,0,0,0.0151665018133861,0.0219306129786087,0.0112676056338028,0.0238003838771593,0,0,0,0.00546362784889166,0.0543933054393305,0,0.0202788339670469,0.0156985871271586,0,0.084759576202119,0.0341013824884793,0.000500250125062531,0.0723747980613893,0.223140495867769,0.100678203928906,0.0146176911544228,0,0.0827320827320827,0.0741714886901631,0.019047619047619,0.0387959866220736,0.0354497354497354,0.00946601941747573,0,0.0575,0.0129449838187702,0.0304243394715773,0.00408314773570898,0,0,0.00620539869686627,0.0776293823038397,0.0133647798742138,0.123497267759563,0.0293709069259774
Comamonadaceae,0.015158924205379,0.0281299524564184,0,0,0.0315189873417722,0.0400395452298567,0.0217099373321397,0,0,0.0796845254283383,0.0333125778331258,0.0111152278621712,0,0,0,0,0,0,0.0179790623577606,0.0566255778120185,0,0.0170263133934262,0.0705882352941176,0,0.0490566037735849,0,0.0573394495412844,0.0178841309823678,0.0231511254019293,0,0.0689858490566038,0.0338909406908538,0.0734351897486447,0,0.0600065941312232,0,0,0,0.0267426567295046,0.0332418420250076,0.0848400556328234,0.0182641273805807,0,0.0531400966183575,0,0,0.0314116777531412,0.039119804400978,0,0,0.0798061389337641,0,0,0,0.100255427841635,0,0.0583903208837454,0,0,0.0238095238095238,0,0,0,0,0.0576461168935148,0,0.0725720384204909,0.020253164556962,0,0.0317195325542571,0,0,0
