"","MG_A0","MG_A1","MG_A2","MG_A3","MG_B0","MG_B1","MG_B2","MG_B3","MG_C0","MG_C1","MG_C2","MG_C3","MG_Ct_qPCR_pos_zymo","MG_E0","MG_E1","MG_E2","MG_E3","MG_F0","MG_F1","MG_F2","MG_F3","MG_G0","MG_G1","MG_G2","MG_G3","MG_I0","MG_I1","MG_I2","MG_I3","MG_J0","MG_J1","MG_J2","MG_J3","MG_K0","MG_K1","MG_K2","MG_K3","MG_L0","MG_L1","MG_L2","MG_L3","MG_M0","MG_M1","MG_M2","MG_M3","MG_N0","MG_N1","MG_N2","MG_N3","MG_O0","MG_O1","MG_O2","MG_O3","MG_P0","MG_P1","MG_P2","MG_P3","MG_Q0","MG_Q1","MG_Q2","MG_Q3","MG_R0","MG_R1","MG_R2","MG_R3","MG_S0","MG_S1","MG_S2","MG_S3","MG_T0","MG_T1","MG_T2","MG_T3"
"Abditibacteriota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397686189443239,0.00596727622714148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000671028350947827,0,0,0,0,0,0,0,0,0,0.0145364783324191,0.000611695620259359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidobacteriota",0,0,0,0.0179063360881543,0,0,0,0,0,0.017116876170099,0,0.00641797031688728,0.000491352201257862,0.00302962298025135,0.0121921482565228,0,0.0194564087331056,0,0.104744011272898,0.014196675900277,0,0,0.00429468120251074,0,0.0360902255639098,0.00238435860753457,0,0,0,0,0,0,0.0139275766016713,0,0,0.0159030074004094,0.0033085194375517,0,0,0.0130318129551552,0,0.00134205670189565,0.0072463768115942,0.0117460317460317,0.0015255530129672,0.000893655049151028,0.0070242656449553,0,0,0.000510073960724305,0.0039814200398142,0.00466264399341744,0.00636163445069733,0,0,0.0369649805447471,0.0318407960199005,0,0.0089974293059126,0.0444229840656688,0,0,0,0,0,0,0,0,0.0040867651681861,0.00487012987012987,0.0063441712926249,0,0.00371017023134003
"Actinobacteriota",0.0387604623355919,0.139428571428571,0.205816554809843,0.136363636363636,0.0532590384864585,0.11043412033511,0.201783723522854,0.250977747808496,0.391433670434265,0.160738165284836,0.180739514348786,0.44484556758925,0,0.351099640933573,0.170690075591319,0.355523672883788,0.41096093866033,0.146579283887468,0.140128385783623,0.24792243767313,0.491139240506329,0.13791460160122,0.17211760819293,0.167832167832168,0.187218045112782,0.484978540772532,0.24295010845987,0.301251203079885,0.447294448348559,0.65872417433268,0.225529479107041,0.275453121503692,0.198235840297122,0.228828206014518,0.146071428571429,0.246575342465753,0.181141439205955,0.367910909465869,0.187395659432387,0.377539287083174,0.149865591397849,0.297601073645362,0.143478260869565,0.202222222222222,0.225781845919146,0.328418230563003,0.113346104725415,0.264905660377358,0.392640692640693,0.510839071665391,0.381552753815528,0.441031267142074,0.534132615610472,0.440295445219532,0.215428571428571,0.313229571984436,0.271144278606965,0.427672955974843,0.333547557840617,0.37856108160309,0.251186017478152,0,0.228710462287105,0.537946428571429,0.194992412746586,0.471691108223501,0.242914979757085,0.329506314580941,0.242062244577177,0.286525974025974,0.599524187153053,0.214504596527068,0.148188563945875
"Armatimonadota",0,0,0.0105465004793864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177215189873418,0,0.0105715229600264,0,0,0,0,0.00327237728585178,0,0,0,0,0,0,0,0,0,0.00123736852959373,0,0,0,0,0,0,0,0,0,0,0,0,0.0086264100862641,0,0.00110105211646685,0,0,0,0,0,0,0.00241429261226461,0.00224719101123596,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidota",0.20346751693902,0.179047619047619,0.137424097155641,0.125803489439853,0.159647531424129,0.121350596598121,0.149665551839465,0,0.0232004759071981,0.23294998662744,0.178256070640177,0.0605695948656237,0,0.0616023339317774,0.159960985125579,0.042467718794835,0.0614881924847765,0,0.0712384531078754,0.132271468144044,0.0205696202531646,0,0.0624380574826561,0.126923076923077,0.0947368421052632,0.0319504053409633,0.181127982646421,0.109143407122233,0.0460295151089248,0,0.202060675443618,0.0946520474379056,0.174094707520891,0,0.271071428571429,0.0843961580853409,0.104631927212572,0,0.21661101836394,0.0739747029513223,0.243951612903226,0.100486495554437,0.12463768115942,0.391428571428571,0.0758962623951182,0,0.224137931034483,0.113207547169811,0.0277056277056277,0,0.0577305905773059,0,0,0,0.102857142857143,0.0700389105058366,0.0417910447761194,0,0.0629820051413882,0.0453887011105746,0,0,0,0,0.0660091047040971,0,0.0506072874493927,0.146957520091848,0.0886513674944986,0.0738636363636364,0.0222045995241872,0.0398365679264556,0
"Bdellovibrionota",0,0,0.00894854586129754,0.00872359963269054,0,0,0,0,0,0.0125702059374164,0.00993377483443709,0,0,0,0.0175566934893928,0,0.0124758651418387,0,0.0134648504775325,0,0,0,0,0.0115384615384615,0,0,0,0.0082771896053898,0,0,0.0148826559816829,0,0,0,0.0275,0.0149582742875138,0.0157154673283706,0,0,0.00574932924492143,0,0,0,0,0,0,0.0233077905491699,0,0.0316017316017316,0,0.0092899800928998,0.00959956116291827,0,0,0.0142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122574055158325,0
"Chloroflexi",0.00647668393782383,0.0121904761904762,0,0.0215794306703398,0.00116625631722172,0.0205635948210206,0.0301003344481605,0.00944032366824005,0.0113027959547888,0.014442364268521,0,0.0485359005214601,0,0.0158213644524237,0.021945866861741,0.0490674318507891,0.0608941036684984,0.0155051150895141,0.058713010803194,0.0259695290858726,0.0661392405063291,0,0.0224644862900562,0.0167832167832168,0.00150375939849624,0.0157367668097282,0.0318148951554591,0.0500481231953802,0.0555165144061841,0.00452420449404313,0.0366342301087579,0.0447527411053927,0,0.00362945039751123,0.0421428571428571,0.0566839867737364,0.00992555831265509,0.0346463188286245,0.0208681135225376,0.0302798006899195,0.0288978494623656,0.0171112229491696,0.110144927536232,0.0053968253968254,0.041952707856598,0.0196604110813226,0.0121328224776501,0.0784905660377359,0.032034632034632,0.000510073960724305,0.0743198407431984,0.277015907844213,0.145828235869831,0.0160032827246615,0,0.103599221789883,0.0701492537313433,0.0215633423180593,0.0372750642673522,0.0560115886045389,0.0209737827715356,0,0.0559610705596107,0.0133928571428571,0.0288315629742033,0.00575459439391127,0,0,0.00848789688777114,0.11038961038961,0.0317208564631245,0.125638406537283,0.0399388913138368
"Crenarchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00512070226773958,0,0,0,0,0,0,0,0,0,0,0.00953743443013829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026697177726926,0,0.0102171136653895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334137739001299,0,0,0,0,0,0,0.00327367961588826
"Cyanobacteria",0,0.0499047619047619,0.0850111856823266,0.0514233241505969,0,0.0444275196750444,0,0,0.0416418798334325,0.144691093875368,0.132450331125828,0.0649819494584837,0,0,0.0736405754693977,0.126255380200861,0.0660923808109312,0,0.0284953812431501,0.0619806094182825,0.0762658227848101,0,0.0921704658077304,0.182167832167832,0.131578947368421,0,0.113882863340564,0.0577478344562079,0.061841180604357,0,0.0635374928448769,0.0539270530319982,0.0868152274837512,0,0.0725,0.0445599118249095,0.110421836228288,0,0.107679465776294,0,0.0981182795698925,0,0.159420289855072,0.019047619047619,0.093440122044241,0,0.103767560664112,0.113207547169811,0.0718614718614719,0,0.0328467153284672,0,0,0,0.0845714285714286,0,0.0616915422885572,0.135669362084456,0.106041131105398,0.0395943988411395,0,0,0.326034063260341,0,0.140364188163885,0,0.0850202429149798,0.12284730195178,0,0,0,0,0
"Deinococcota",0,0.0118095238095238,0,0,0,0,0,0.00175320296695887,0,0.0072211821342605,0.00827814569536424,0,0,0.00235637342908438,0,0,0.00430714391801574,0,0.00375763269140442,0,0.020253164556962,0,0.0142054839775355,0,0,0.00238435860753457,0,0.00635226179018287,0.0207308503162333,0,0,0,0.0181058495821727,0,0,0.00566839867737364,0,0,0,0.0367957071674971,0,0.000671028350947827,0,0.0053968253968254,0,0.00104259755734287,0,0,0,0,0.0129396151293962,0.010148107515085,0.0393931979447027,0,0,0.0243190661478599,0,0,0,0,0,0,0,0,0,0,0.0232793522267206,0,0.00628733102797862,0.0105519480519481,0,0,0.00371017023134003
