"","MG_A0","MG_A1","MG_A2","MG_A3","MG_B0","MG_B1","MG_B2","MG_B3","MG_C0","MG_C1","MG_C2","MG_C3","MG_Ct_qPCR_pos_zymo","MG_E0","MG_E1","MG_E2","MG_E3","MG_F0","MG_F1","MG_F2","MG_F3","MG_G0","MG_G1","MG_G2","MG_G3","MG_I0","MG_I1","MG_I2","MG_I3","MG_J0","MG_J1","MG_J2","MG_J3","MG_K0","MG_K1","MG_K2","MG_K3","MG_L0","MG_L1","MG_L2","MG_L3","MG_M0","MG_M1","MG_M2","MG_M3","MG_N0","MG_N1","MG_N2","MG_N3","MG_O0","MG_O1","MG_O2","MG_O3","MG_P0","MG_P1","MG_P2","MG_P3","MG_Q0","MG_Q1","MG_Q2","MG_Q3","MG_R0","MG_R1","MG_R2","MG_R3","MG_S0","MG_S1","MG_S2","MG_S3","MG_T0","MG_T1","MG_T2","MG_T3"
"Abditibacteriota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidobacteriota",0,0,0,39,0,0,0,0,0,64,0,32,5,27,50,0,131,0,669,41,0,0,13,0,48,10,0,0,0,0,0,0,30,0,0,101,8,0,0,34,0,8,5,37,4,6,22,0,0,2,12,17,52,0,0,76,64,0,14,92,0,0,0,0,0,0,0,0,13,6,8,0,17
"Actinobacteriota",389,366,644,297,411,435,724,1861,658,601,655,2218,0,3129,700,1239,2767,917,895,716,1552,1447,521,480,249,2034,672,1565,1273,4368,394,1231,427,1324,409,1566,438,1784,449,985,223,1774,99,637,592,2205,355,351,907,2003,1150,1608,4366,1073,377,644,545,476,519,784,1006,0,94,482,257,2541,240,287,770,353,756,210,679
"Armatimonadota",0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,32,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,26,0,9,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidota",2042,470,430,274,1232,478,537,0,39,871,646,302,0,549,656,148,414,0,455,382,65,0,189,363,126,134,501,567,131,0,353,423,375,0,759,536,253,0,519,193,363,599,86,1233,199,0,702,150,64,0,174,0,0,0,180,144,84,0,98,94,0,0,0,0,87,0,50,128,282,91,28,39,0
"Bdellovibrionota",0,0,28,19,0,0,0,0,0,47,36,0,0,0,72,0,84,0,86,0,0,0,0,33,0,0,0,43,0,0,26,0,0,0,77,95,38,0,0,15,0,0,0,0,0,0,73,0,73,0,28,35,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"Chloroflexi",65,32,0,47,9,81,108,70,19,54,0,242,0,141,90,171,410,97,375,75,209,0,68,48,2,66,88,260,158,30,64,200,0,21,118,360,24,168,50,79,43,102,76,17,110,132,38,104,74,2,224,1010,1192,39,0,213,141,24,58,116,84,0,23,12,38,31,0,0,27,136,40,123,183
"Crenarchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,15
"Cyanobacteria",0,131,266,112,0,175,0,0,70,541,480,324,0,0,302,440,445,0,182,179,241,0,279,521,175,0,315,300,176,0,111,241,187,0,203,283,267,0,258,0,146,0,110,60,245,0,325,150,166,0,99,0,0,0,148,0,124,151,165,82,0,0,134,0,185,0,84,107,0,0,0,0,0
"Deinococcota",0,31,0,0,0,0,0,13,0,27,30,0,0,21,0,0,29,0,24,0,64,0,43,0,0,10,0,33,59,0,0,0,39,0,0,36,0,0,0,96,0,4,0,17,0,7,0,0,0,0,39,37,322,0,0,50,0,0,0,0,0,0,0,0,0,0,23,0,20,13,0,0,17
"Dependentiae",26,0,0,0,0,0,0,0,0,0,0,41,0,4,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,28,0,0,0,0,0,8,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfobacterota",0,0,0,12,11,9,10,0,0,0,0,0,0,0,33,0,10,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fibrobacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"Firestonebacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes",0,124,512,226,0,0,599,158,26,0,1048,729,8718,0,167,227,541,135,177,318,0,0,130,583,62,566,103,375,316,0,0,376,279,0,0,858,649,100,130,389,64,138,119,169,374,96,161,135,861,0,374,258,0,0,92,583,494,109,102,367,0,0,53,298,289,0,88,104,174,98,175,309,56
"Fusobacteriota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmatimonadota",0,12,70,0,0,0,0,8,0,24,0,0,0,0,0,59,29,0,163,49,72,0,0,32,0,0,66,0,22,0,0,0,0,0,55,53,0,4,25,0,0,0,0,15,0,0,19,0,0,0,0,10,0,0,0,0,0,0,0,29,41,0,0,0,0,0,44,0,0,11,0,0,46
"Halobacterota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"MBNT15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myxococcota",0,0,0,26,0,22,0,0,0,100,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,22,0,36,35,0,15,0,8,0,0,229,22,0,0,34,0,0,0,15,0,0,46,0,0,0,0,0,11,9,0,0,0,0,0,0,101,0,0,0,0,0,0,0,39,0,0,0,11
"Nanoarchaeota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NB1-j",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrospirota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Patescibacteria",179,52,32,0,0,0,13,162,13,35,0,0,0,30,0,0,340,37,121,0,50,0,0,0,0,9,0,136,70,25,0,173,0,6,78,0,0,71,0,37,36,38,0,32,56,0,48,0,0,14,0,18,202,0,0,0,0,0,0,52,31,0,0,0,30,0,0,0,0,0,0,0,26
"Planctomycetota",0,0,0,49,0,40,191,0,9,0,0,181,0,0,166,78,138,0,1024,0,33,0,0,26,51,0,0,134,34,0,31,127,0,34,97,103,57,40,41,68,0,0,10,0,19,0,33,37,0,33,0,42,1005,0,0,0,0,0,0,17,90,0,0,0,0,0,0,0,0,6,16,0,25
"Proteobacteria",7335,1261,1114,950,6054,2566,1280,5143,847,1031,650,698,1453,5001,1479,915,1239,5070,1784,921,680,9045,1469,613,465,1122,892,1434,488,2203,612,1681,733,4401,746,1835,516,2670,761,651,565,3294,185,900,925,4247,955,365,165,1867,888,541,919,1316,824,346,558,333,600,407,2643,5635,107,104,432,2797,405,245,1856,511,228,257,3497
"SAR324_cladeMarine_group_B",0,0,0,0,0,0,22,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
