p	MG_A0	MG_A1	MG_A2	MG_A3	MG_B0	MG_B1	MG_B2	MG_B3	MG_C0	MG_C1	MG_C2	MG_C3	MG_Ct_0A	MG_Ct_0B	MG_Ct_0C	MG_Ct_qPCR_neg	MG_Ct_qPCR_pos_zymo	MG_E0	MG_E1	MG_E2	MG_E3	MG_F0	MG_F1	MG_F2	MG_F3	MG_G0	MG_G1	MG_G2	MG_G3	MG_I0	MG_I1	MG_I2	MG_I3	MG_J0	MG_J1	MG_J2	MG_J3	MG_K0	MG_K1	MG_K2	MG_K3	MG_L0	MG_L1	MG_L2	MG_L3	MG_M0	MG_M1	MG_M2	MG_M3	MG_N0	MG_N1	MG_N2	MG_N3	MG_O0	MG_O1	MG_O2	MG_O3	MG_P0	MG_P1	MG_P2	MG_P3	MG_Q0	MG_Q1	MG_Q2	MG_Q3	MG_R0	MG_R1	MG_R2	MG_R3	MG_S0	MG_S1	MG_S2	MG_S3	MG_T0	MG_T1	MG_T2	MG_T3
Abditibacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	31	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	53	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacteriota	0	0	0	39	0	0	0	0	0	64	0	32	0	0	0	0	5	27	50	0	131	0	669	41	0	0	13	0	48	10	0	0	0	0	0	0	30	0	0	101	8	0	0	34	0	8	5	37	4	6	22	0	0	2	12	17	52	0	0	76	64	0	14	92	0	0	0	0	0	0	0	0	13	6	8	0	17
Actinobacteriota	524	369	869	301	500	549	1101	2175	711	689	656	2422	235	411	916	95	96	3311	708	1243	2778	1025	1065	719	1659	1616	524	483	250	2170	675	1572	1403	4558	419	1402	453	1433	511	1576	441	1925	452	1215	225	1932	128	804	595	2395	359	352	1004	2069	1236	1707	4637	1170	378	710	545	508	519	784	1091	125	94	506	257	2557	240	287	799	353	792	210	868
Armatimonadota	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	32	0	0	0	0	17	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	26	0	9	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidota	2158	473	624	278	1309	576	867	276	84	947	647	479	274	71	835	99	66	706	663	152	424	82	604	385	157	238	193	366	127	251	504	574	244	191	374	571	397	158	847	545	256	171	522	394	365	735	111	1377	202	165	707	151	148	66	248	141	270	93	181	201	84	33	98	94	15	0	0	18	87	3	50	128	307	91	59	39	179
Bdellovibrionota	6	0	46	19	0	26	31	27	0	54	36	16	0	0	271	0	7	0	72	0	84	0	98	0	14	0	0	33	0	12	0	43	13	0	28	0	0	3	85	95	38	6	0	32	0	0	0	16	0	5	73	0	81	2	35	43	5	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0
Chloroflexi	65	32	0	47	9	81	109	70	19	54	0	242	0	0	0	4	0	141	90	171	410	97	375	75	209	0	68	48	2	66	88	260	158	30	64	200	0	21	118	360	24	168	50	80	43	102	76	17	110	132	38	104	74	2	224	1010	1192	39	0	213	141	24	58	116	84	0	23	12	38	31	0	0	27	136	40	123	183
Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	15
Cyanobacteria	58	138	412	119	32	249	289	205	104	599	483	466	298	300	461	205	168	153	314	448	464	103	309	186	310	62	286	527	178	84	321	314	265	103	127	353	205	27	269	302	273	81	264	180	150	148	129	173	251	174	332	153	229	67	155	34	97	56	149	72	124	172	165	82	58	0	134	28	185	0	85	107	13	0	33	0	133
Deinococcota	0	31	0	0	0	0	0	13	0	27	30	0	0	0	0	0	0	21	0	0	29	0	24	0	64	0	43	0	0	10	0	33	59	0	0	0	39	0	0	36	0	0	0	96	0	4	0	17	0	7	0	0	0	0	39	37	322	0	0	50	0	0	0	0	0	0	0	0	0	0	23	0	20	13	0	0	17
